集計番号,名称,金額 項番,金額 カウンタ,点数 項番,点数 カウンタ,回数 項番,回数 カウンタ,枚数 項番,枚数 カウンタ,組数 項番,組数 カウンタ,客数 項番,客数 カウンタ
1,ﾚｽﾄﾗﾝ売上 客数                  ,1,0,2,0,3,0,4,0,5,126,6,188
2,ﾚｽﾄﾗﾝ売上１ 客単価              ,1,812,2,0,3,0,4,0,5,0,6,0
3,客単価(税込み)                  ,1,852,2,0,3,0,4,0,5,0,6,0
4,店頭売上１ 客数                 ,1,0,2,0,3,0,4,0,5,0,6,0
5,店頭売上１ 客単価               ,1,0,2,0,3,0,4,0,5,0,6,0
6,店頭売上２ 客単価               ,1,0,2,0,3,0,4,0,5,0,6,0
7,売上　組数、客数                ,1,0,2,0,3,0,4,0,5,126,6,188
8,売上計１ 客単価(内税抜き)       ,1,812,2,0,3,0,4,0,5,0,6,0
9,売上計２ 客単価(内税込み)       ,1,852,2,0,3,0,4,0,5,0,6,0
10,売上計３ 客単価(内税抜き)       ,1,780,2,0,3,0,4,0,5,0,6,0
11,売上計４ 客単価(内税込み)       ,1,818,2,0,3,0,4,0,5,0,6,0
12,総売上客数                      ,1,0,2,0,3,0,4,0,5,126,6,188
13,収入計１ 客単価(内税抜き)       ,1,812,2,0,3,0,4,0,5,0,6,0
14,収入計２ 客単価(内税込み)       ,1,852,2,0,3,0,4,0,5,0,6,0
15,収入計３ 客単価(内税抜き)       ,1,780,2,0,3,0,4,0,5,0,6,0
16,収入計４ 客単価(内税込み)       ,1,818,2,0,3,0,4,0,5,0,6,0
17,店内飲食合計１（内税抜き）      ,1,150131,2,535,3,0,4,0,5,0,6,0
18,店内飲食                        ,1,157575,2,535,3,0,4,0,5,0,6,0
19,店内飲食外税対象                ,1,0,2,0,3,0,4,0,5,0,6,0
20,店内飲食内税対象（内税抜き）    ,1,150131,2,535,3,0,4,0,5,0,6,0
21,店内飲食内税対象（内税込み）    ,1,157575,2,535,3,0,4,0,5,0,6,0
22,店内飲食非課税対象              ,1,0,2,0,3,0,4,0,5,0,6,0
23,ﾃｲｸｱｳﾄ合計１ (内税抜き)         ,1,2487,2,7,3,0,4,0,5,0,6,0
24,持帰飲食                        ,1,2610,2,7,3,0,4,0,5,0,6,0
25,ﾃｲｸｱｳﾄ外税対象                  ,1,0,2,0,3,0,4,0,5,0,6,0
26,ﾃｲｸｱｳﾄ内税対象（内税抜き）      ,1,2487,2,7,3,0,4,0,5,0,6,0
27,ﾃｲｸｱｳﾄ内税対象（内税込み）      ,1,2610,2,7,3,0,4,0,5,0,6,0
28,ﾃｲｸｱｳﾄ 非課税対象               ,1,0,2,0,3,0,4,0,5,0,6,0
29,メニュー総売り(税抜き)          ,1,152618,2,542,3,0,4,0,5,0,6,0
30,メニュー総売り(税込み)          ,1,160185,2,542,3,0,4,0,5,0,6,0
31,ﾚｽﾄﾗﾝ売上外税対象               ,1,0,2,0,3,0,4,0,5,0,6,0
32,ﾚｽﾄﾗﾝ売上内税対象（内税抜き）   ,1,152618,2,542,3,0,4,0,5,0,6,0
33,ﾚｽﾄﾗﾝ売上内税対象（内税込み）   ,1,160185,2,542,3,0,4,0,5,0,6,0
34,ﾚｽﾄﾗﾝ売上非課税対象             ,1,0,2,0,3,0,4,0,5,0,6,0
35,ＰＬＵ総売り(税抜き)            ,1,0,2,0,3,0,4,0,5,0,6,0
36,ＰＬＵ総売り(税込み)            ,1,0,2,0,3,0,4,0,5,0,6,0
37,店頭売上外税対象                ,1,0,2,0,3,0,4,0,5,0,6,0
38,店頭売上内税対象（内税抜き）    ,1,0,2,0,3,0,4,0,5,0,6,0
39,店頭売上内税対象（内税込み）    ,1,0,2,0,3,0,4,0,5,0,6,0
40,店頭売上非課税対象額            ,1,0,2,0,3,0,4,0,5,0,6,0
41,奉仕料                          ,1,0,2,0,3,0,4,0,5,0,6,0
42,奉仕料２（深夜料金）            ,1,0,2,0,3,0,4,0,5,0,6,0
43,席料                            ,1,0,2,0,3,0,4,0,5,0,6,0
44,売上計１ (内税抜き)             ,1,152618,2,542,3,0,4,0,5,0,6,0
45,売上計２（内税込み）            ,1,160185,2,542,3,0,4,0,5,0,6,0
46,純売上                          ,1,146579,2,542,3,0,4,0,5,0,6,0
47,売上計４（内税込み）            ,1,153843,2,542,3,0,4,0,5,0,6,0
48,割引券支払合計                  ,1,6342,2,0,3,53,4,55,5,0,6,0
49,割引                            ,1,6342,2,0,3,53,4,55,5,0,6,0
50,値引                            ,1,0,2,0,3,0,4,0,5,0,6,0
51,割引券支払３                    ,1,0,2,0,3,0,4,0,5,0,6,0
52,割引券支払４                    ,1,0,2,0,3,0,4,0,5,0,6,0
53,割引券支払５                    ,1,0,2,0,3,0,4,0,5,0,6,0
54,割引券支払６                    ,1,0,2,0,3,0,4,0,5,0,6,0
55,割引券支払７                    ,1,0,2,0,3,0,4,0,5,0,6,0
56,割引券支払８                    ,1,0,2,0,3,0,4,0,5,0,6,0
57,割引券支払９                    ,1,0,2,0,3,0,4,0,5,0,6,0
58,割引券支払１０                  ,1,0,2,0,3,0,4,0,5,0,6,0
59,割引券支払１１                  ,1,0,2,0,3,0,4,0,5,0,6,0
60,割引券支払１２                  ,1,0,2,0,3,0,4,0,5,0,6,0
61,割引券支払１３                  ,1,0,2,0,3,0,4,0,5,0,6,0
62,割引券支払１４                  ,1,0,2,0,3,0,4,0,5,0,6,0
63,割引券支払１５                  ,1,0,2,0,3,0,4,0,5,0,6,0
64,割引券釣り                      ,1,0,2,0,3,0,4,0,5,0,6,0
65,割引券差額                      ,1,0,2,0,3,0,4,0,5,0,6,0
66,端数値引                        ,1,0,2,0,3,0,4,0,5,0,6,0
67,金券販売合計                    ,1,0,2,0,3,0,4,0,5,0,6,0
68,金券販売１                      ,1,0,2,0,3,0,4,0,5,0,6,0
69,金券販売２                      ,1,0,2,0,3,0,4,0,5,0,6,0
70,金券販売３                      ,1,0,2,0,3,0,4,0,5,0,6,0
71,金券販売４                      ,1,0,2,0,3,0,4,0,5,0,6,0
72,金券販売５                      ,1,0,2,0,3,0,4,0,5,0,6,0
73,金券販売６                      ,1,0,2,0,3,0,4,0,5,0,6,0
74,金券販売７                      ,1,0,2,0,3,0,4,0,5,0,6,0
75,金券販売８                      ,1,0,2,0,3,0,4,0,5,0,6,0
76,金券販売９                      ,1,0,2,0,3,0,4,0,5,0,6,0
77,金券販売１０                    ,1,0,2,0,3,0,4,0,5,0,6,0
78,消費税合計                      ,1,7264,2,0,3,0,4,0,5,126,6,0
79,外税                            ,1,0,2,0,3,0,4,0,5,0,6,0
80,内税                            ,1,7264,2,0,3,0,4,0,5,0,6,0
81,外税対象額                      ,1,0,2,0,3,0,4,0,5,0,6,0
82,内税対象額                      ,1,153843,2,0,3,0,4,0,5,0,6,0
83,非課税対象額                    ,1,0,2,0,3,0,4,0,5,0,6,0
84,入金合計                        ,1,0,2,0,3,0,4,0,5,0,6,0
85,入金                            ,1,0,2,0,3,0,4,0,5,0,6,0
86,入金２                          ,1,0,2,0,3,0,4,0,5,0,6,0
87,入金３                          ,1,0,2,0,3,0,4,0,5,0,6,0
88,入金４                          ,1,0,2,0,3,0,4,0,5,0,6,0
89,入金５                          ,1,0,2,0,3,0,4,0,5,0,6,0
90,入金６                          ,1,0,2,0,3,0,4,0,5,0,6,0
91,入金７                          ,1,0,2,0,3,0,4,0,5,0,6,0
92,入金８                          ,1,0,2,0,3,0,4,0,5,0,6,0
93,入金９                          ,1,0,2,0,3,0,4,0,5,0,6,0
94,入金１０                        ,1,0,2,0,3,0,4,0,5,0,6,0
95,収入計１（内税抜き）            ,1,152618,2,0,3,0,4,0,5,0,6,0
96,収入計２（内税込み）            ,1,160185,2,0,3,0,4,0,5,0,6,0
97,収入計３（内税抜き）            ,1,146579,2,0,3,0,4,0,5,0,6,0
98,収入計４ (内税込み)             ,1,153843,2,0,3,0,4,0,5,0,6,0
99,クーポン計                      ,1,3000,2,0,3,2,4,2,5,0,6,0
100,ＪＣＢ                          ,1,0,2,0,3,0,4,0,5,0,6,0
101,ＶＩＳＡ                        ,1,3000,2,0,3,2,4,2,5,0,6,0
102,ＪＴＢ                          ,1,0,2,0,3,0,4,0,5,0,6,0
103,モデルカード                    ,1,0,2,0,3,0,4,0,5,0,6,0
104,ミーナ                          ,1,0,2,0,3,0,4,0,5,0,6,0
105,その他商品券                    ,1,0,2,0,3,0,4,0,5,0,6,0
106,金券支払７                      ,1,0,2,0,3,0,4,0,5,0,6,0
107,金券支払８                      ,1,0,2,0,3,0,4,0,5,0,6,0
108,金券支払９                      ,1,0,2,0,3,0,4,0,5,0,6,0
109,金券支払１０                    ,1,0,2,0,3,0,4,0,5,0,6,0
110,メディア釣                      ,1,0,2,0,3,0,4,0,5,0,6,0
111,クーポン差額                    ,1,20,2,0,3,1,4,0,5,0,6,0
112,預／現計                        ,1,144815,2,0,3,128,4,0,5,0,6,0
113,クレジット計                    ,1,6048,2,0,3,6,4,0,5,0,6,0
114,掛計                            ,1,0,2,0,3,0,4,0,5,0,6,0
115,支払メディア４                  ,1,0,2,0,3,0,4,0,5,0,6,0
116,支払メディア５                  ,1,0,2,0,3,0,4,0,5,0,6,0
117,支払メディア６                  ,1,0,2,0,3,0,4,0,5,0,6,0
118,支払メディア７                  ,1,0,2,0,3,0,4,0,5,0,6,0
119,支払メディア８                  ,1,0,2,0,3,0,4,0,5,0,6,0
120,支払メディア９                  ,1,0,2,0,3,0,4,0,5,0,6,0
121,支払メディア１０                ,1,0,2,0,3,0,4,0,5,0,6,0
122,支払メディア１１                ,1,0,2,0,3,0,4,0,5,0,6,0
123,支払メディア１２                ,1,0,2,0,3,0,4,0,5,0,6,0
124,支払メディア１３                ,1,0,2,0,3,0,4,0,5,0,6,0
125,支払メディア１４                ,1,0,2,0,3,0,4,0,5,0,6,0
126,支払メディア１５                ,1,0,2,0,3,0,4,0,5,0,6,0
127,支払メディア１６                ,1,0,2,0,3,0,4,0,5,0,6,0
128,支払メディア１７                ,1,0,2,0,3,0,4,0,5,0,6,0
129,支払メディア１８                ,1,0,2,0,3,0,4,0,5,0,6,0
130,支払メディア１９                ,1,0,2,0,3,0,4,0,5,0,6,0
131,支払メディア２０                ,1,0,2,0,3,0,4,0,5,0,6,0
132,支払計１                        ,1,160185,2,0,3,0,4,0,5,0,6,0
133,支払計２                        ,1,153843,2,0,3,0,4,0,5,0,6,0
134,出金合計                        ,1,0,2,0,3,0,4,0,5,0,6,0
135,支払                            ,1,0,2,0,3,0,4,0,5,0,6,0
136,出金２                          ,1,0,2,0,3,0,4,0,5,0,6,0
137,出金３                          ,1,0,2,0,3,0,4,0,5,0,6,0
138,出金４                          ,1,0,2,0,3,0,4,0,5,0,6,0
139,出金５                          ,1,0,2,0,3,0,4,0,5,0,6,0
140,出金６                          ,1,0,2,0,3,0,4,0,5,0,6,0
141,出金７                          ,1,0,2,0,3,0,4,0,5,0,6,0
142,出金８                          ,1,0,2,0,3,0,4,0,5,0,6,0
143,出金９                          ,1,0,2,0,3,0,4,0,5,0,6,0
144,出金１０                        ,1,0,2,0,3,0,4,0,5,0,6,0
145,支出計１                        ,1,160185,2,0,3,0,4,0,5,0,6,0
146,支出計２                        ,1,153843,2,0,3,0,4,0,5,0,6,0
147,釣銭準備金                      ,1,100000,2,0,3,1,4,0,5,0,6,0
148,回収                            ,1,0,2,0,3,0,4,0,5,0,6,0
149,現金在高                        ,1,244815,2,0,3,0,4,0,5,0,6,0
150,手持在高                        ,1,244815,2,0,3,0,4,0,5,0,6,0
151,過不足                          ,1,0,2,0,3,0,4,0,5,0,6,0
152,銀行入金額                      ,1,144815,2,0,3,0,4,0,5,0,6,0
153,万券枚数                        ,1,0,2,0,3,0,4,0,5,0,6,0
154,両替                            ,1,0,2,0,3,15,4,0,5,0,6,0
155,オーダーメニュー取消            ,1,3960,2,14,3,6,4,0,5,0,6,0
156,POSメニュー取消                 ,1,4900,2,2,3,2,4,0,5,0,6,0
157,未精算CCP                       ,1,0,2,0,3,0,4,0,5,0,6,0
158,ＶＯＩＤ件数                    ,1,2650,2,9,3,2,4,0,5,2,6,3
159,強制クリア                      ,1,9400,2,34,3,6,4,0,5,6,6,11
160,従食消し込み                    ,1,0,2,0,3,0,4,0,5,0,6,0
161,シフト精算回数                  ,1,0,2,0,3,1,4,0,5,0,6,0
162,精算回数                        ,1,0,2,0,3,1,4,0,5,0,6,0
163, 今回精算日時                   ,1,90424,2,2025,3,0,4,0,5,0,6,0
164, レシートＮｏ．(FROM)           ,1,0,2,0,3,0,4,0,5,0,6,0
165, レシートＮｏ．(TO)             ,1,168,2,0,3,0,4,0,5,0,6,0
166,領収証発行枚数                  ,1,22302,2,0,3,7,4,0,5,0,6,0
167,トレーニング                    ,1,0,2,0,3,0,4,0,5,0,6,0
168, タイム１天候                   ,1,0,2,0,3,0,4,0,5,0,6,0
169, タイム１気温                   ,1,0,2,0,3,0,4,0,5,0,6,0
170, タイム２天候                   ,1,0,2,0,3,0,4,0,5,0,6,0
171, タイム２気温                   ,1,0,2,0,3,0,4,0,5,0,6,0
172, タイム３天候                   ,1,0,2,0,3,0,4,0,5,0,6,0
173, タイム３気温                   ,1,0,2,0,3,0,4,0,5,0,6,0
174, タイム４天候                   ,1,0,2,0,3,0,4,0,5,0,6,0
175, タイム４気温                   ,1,0,2,0,3,0,4,0,5,0,6,0
176, タイム５天候                   ,1,0,2,0,3,0,4,0,5,0,6,0
177, タイム５気温                   ,1,0,2,0,3,0,4,0,5,0,6,0
178, タイム６天候                   ,1,0,2,0,3,0,4,0,5,0,6,0
179, タイム６気温                   ,1,0,2,0,3,0,4,0,5,0,6,0
180,一括取消                        ,1,63010,2,103,3,0,4,0,5,14,6,14
181,店内飲食客数                    ,1,0,2,0,3,0,4,0,5,126,6,188
182,テイクアウト取引客数            ,1,0,2,0,3,0,4,0,5,3,6,4
183,店内飲食のみの客数              ,1,0,2,0,3,0,4,0,5,123,6,184
184,テイクアウトのみの取引客数      ,1,0,2,0,3,0,4,0,5,0,6,0
185,最終レジ売上げ時刻              ,1,90424,2,2009,3,0,4,0,5,0,6,0
186,今回保留                        ,1,0,2,0,3,0,4,0,5,0,6,0
187,保留取消                        ,1,0,2,0,3,0,4,0,5,0,6,0
188,返品                            ,1,0,2,0,3,0,4,0,5,0,6,0
189,割引券支払い合計（内税抜き）    ,1,6039,2,0,3,53,4,55,5,0,6,0
190,総売上                          ,1,153843,2,542,3,0,4,0,5,0,6,0
191,翌日釣銭額                      ,1,100000,2,0,3,0,4,0,5,0,6,0
192,プロモーション値引き            ,1,0,2,0,3,0,4,0,5,0,6,0
193,ポイント付加                    ,1,0,2,0,3,0,4,0,5,0,6,0
194,ポイント訂正                    ,1,0,2,0,3,0,4,0,5,0,6,0
195,満点券発行枚数                  ,1,0,2,0,3,0,4,0,5,0,6,0
196,収入印紙対象レシート            ,1,0,2,0,3,0,4,0,5,0,6,0
197,収入印紙対象領収証              ,1,0,2,0,3,0,4,0,5,0,6,0
198,認証                            ,1,0,2,0,3,0,4,0,5,0,6,0
199,伝票発行                        ,1,0,2,0,3,0,4,0,5,0,6,0
200,                                ,1,0,2,0,3,0,4,0,5,0,6,0
201,特別売上合計１（内税抜き）      ,1,0,2,0,3,0,4,0,5,0,6,0
202,特別売上合計２（内税込み）      ,1,0,2,0,3,0,4,0,5,0,6,0
203,特別売上外税対象                ,1,0,2,0,3,0,4,0,5,0,6,0
204,特別売上内税対象（内税抜き）    ,1,0,2,0,3,0,4,0,5,0,6,0
205,特別売上内税対象（内税込み）    ,1,0,2,0,3,0,4,0,5,0,6,0
206,特別売上非課税対象              ,1,0,2,0,3,0,4,0,5,0,6,0
207,特別売上客数                    ,1,0,2,0,3,0,4,0,5,0,6,0
208,電子マネー現金返金計１          ,1,0,2,0,3,0,4,0,5,0,6,0
209,電子マネー現金返金計２          ,1,0,2,0,3,0,4,0,5,0,6,0
210,電子マネー現金返金計３          ,1,0,2,0,3,0,4,0,5,0,6,0
211,電子マネー現金返金計４          ,1,0,2,0,3,0,4,0,5,0,6,0
212,電子マネー現金返金計５          ,1,0,2,0,3,0,4,0,5,0,6,0
213,釣銭準備金　金種１００００円    ,1,0,2,0,3,0,4,0,5,0,6,0
214,釣銭準備金　金種５０００円      ,1,0,2,0,3,0,4,0,5,0,6,0
215,釣銭準備金　金種２０００円      ,1,0,2,0,3,0,4,0,5,0,6,0
216,釣銭準備金　金種１０００円      ,1,0,2,0,3,0,4,0,5,0,6,0
217,釣銭準備金　金種５００円        ,1,0,2,0,3,0,4,0,5,0,6,0
218,釣銭準備金　金種１００円        ,1,0,2,0,3,0,4,0,5,0,6,0
219,釣銭準備金　金種５０円          ,1,0,2,0,3,0,4,0,5,0,6,0
220,釣銭準備金　金種１０円          ,1,0,2,0,3,0,4,0,5,0,6,0
221,釣銭準備金　金種５円            ,1,0,2,0,3,0,4,0,5,0,6,0
222,釣銭準備金　金種１円            ,1,0,2,0,3,0,4,0,5,0,6,0
223,金種別在高　金種１００００円    ,1,120000,2,0,3,0,4,12,5,0,6,0
224,金種別在高　金種５０００円      ,1,55000,2,0,3,0,4,11,5,0,6,0
225,金種別在高　金種２０００円      ,1,0,2,0,3,0,4,0,5,0,6,0
226,金種別在高　金種１０００円      ,1,55000,2,0,3,0,4,55,5,0,6,0
227,金種別在高　金種５００円        ,1,7500,2,0,3,0,4,15,5,0,6,0
228,金種別在高　金種１００円        ,1,4200,2,0,3,0,4,42,5,0,6,0
229,金種別在高　金種５０円          ,1,2150,2,0,3,0,4,43,5,0,6,0
230,金種別在高　金種１０円          ,1,590,2,0,3,0,4,59,5,0,6,0
231,金種別在高　金種５円            ,1,200,2,0,3,0,4,40,5,0,6,0
232,金種別在高　金種１円            ,1,175,2,0,3,0,4,175,5,0,6,0
233,客層１                          ,1,0,2,0,3,0,4,0,5,126,6,188
234,客層２                          ,1,0,2,0,3,0,4,0,5,0,6,0
235,客層３                          ,1,0,2,0,3,0,4,0,5,0,6,0
236,客層４                          ,1,0,2,0,3,0,4,0,5,0,6,0
237,客層５                          ,1,0,2,0,3,0,4,0,5,0,6,0
238,奉仕料１（内税込み）            ,1,0,2,0,3,0,4,0,5,0,6,0
239,奉仕料２（深夜料）（内税込み）  ,1,0,2,0,3,0,4,0,5,0,6,0
240,店内飲食１　客単価              ,1,799,2,0,3,0,4,0,5,0,6,0
241,店内飲食２　客単価              ,1,838,2,0,3,0,4,0,5,0,6,0
242,                                ,1,0,2,0,3,0,4,0,5,0,6,0
243,                                ,1,0,2,0,3,0,4,0,5,0,6,0
244,                                ,1,0,2,0,3,0,4,0,5,0,6,0
245,                                ,1,0,2,0,3,0,4,0,5,0,6,0
246,                                ,1,0,2,0,3,0,4,0,5,0,6,0
247,                                ,1,0,2,0,3,0,4,0,5,0,6,0
248,                                ,1,0,2,0,3,0,4,0,5,0,6,0
249,                                ,1,0,2,0,3,0,4,0,5,0,6,0
250,                                ,1,0,2,0,3,0,4,0,5,0,6,0
251,                                ,1,0,2,0,3,0,4,0,5,0,6,0
252,                                ,1,0,2,0,3,0,4,0,5,0,6,0
253,                                ,1,0,2,0,3,0,4,0,5,0,6,0
254,                                ,1,0,2,0,3,0,4,0,5,0,6,0
255,                                ,1,0,2,0,3,0,4,0,5,0,6,0
256,                                ,1,0,2,0,3,0,4,0,5,0,6,0
257,                                ,1,0,2,0,3,0,4,0,5,0,6,0
258,                                ,1,0,2,0,3,0,4,0,5,0,6,0
259,                                ,1,0,2,0,3,0,4,0,5,0,6,0
260,                                ,1,0,2,0,3,0,4,0,5,0,6,0
261,                                ,1,0,2,0,3,0,4,0,5,0,6,0
